Study,LLM,Request,Prompt,Screen,Layout,Context,Touch Target,Contrast,Item Description,Text Size,Hidden Text,Item Label,Item Type Label,Editable Item Label,Clickable Item,Total
Study 2,Sabiá-3,NReq,1,PROFILE,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,NReq,2,PROFILE,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,NReq,3,PROFILE,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,AccessReq,1,PROFILE,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,AccessReq,2,PROFILE,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,AccessReq,3,PROFILE,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 2,Sabiá-3,NReq,1,MUSIC PLAYER,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,NReq,2,MUSIC PLAYER,Chat-JCR,7,0,0,0,0,0,0,0,0,0,7
Study 2,Sabiá-3,NReq,3,MUSIC PLAYER,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,AccessReq,1,MUSIC PLAYER,Chat-JCR,4,0,0,0,0,0,0,0,0,0,4
Study 2,Sabiá-3,AccessReq,2,MUSIC PLAYER,Chat-JCR,7,0,0,0,0,0,0,0,0,0,7
Study 2,Sabiá-3,AccessReq,3,MUSIC PLAYER,Chat-JCR,2,0,0,0,0,0,0,0,0,0,2
Study 2,Sabiá-3,NReq,1,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,NReq,2,SIDEBAR MENU,Chat-JCR,0,4,0,0,0,1,0,0,0,0,5
Study 2,Sabiá-3,NReq,3,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,AccessReq,1,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 2,Sabiá-3,AccessReq,2,SIDEBAR MENU,Chat-JCR,0,4,0,0,0,1,0,0,0,0,5
Study 2,Sabiá-3,AccessReq,3,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,1,0,0,0,0,1
Study 3,ChatGPT-4o,NReq,1,LOGIN,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,2,LOGIN,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,3,LOGIN,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,1,LOGIN,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,2,LOGIN,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,3,LOGIN,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,1,PRODUCT,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,2,PRODUCT,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,3,PRODUCT,Chat-JCR,0,0,2,0,0,0,0,0,0,0,2
Study 3,ChatGPT-4o,AccessReq,1,PRODUCT,Chat-JCR,0,0,0,0,0,2,0,0,0,0,2
Study 3,ChatGPT-4o,AccessReq,2,PRODUCT,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,3,PRODUCT,Chat-JCR,0,0,2,0,0,0,0,0,0,0,2
Study 3,ChatGPT-4o,NReq,1,REGISTRATION,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 3,ChatGPT-4o,NReq,2,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,3,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,1,REGISTRATION,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 3,ChatGPT-4o,AccessReq,2,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,3,REGISTRATION,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 3,ChatGPT-4o,NReq,1,TO-DO LIST,Chat-JCR,0,0,0,1,0,0,0,0,0,0,1
Study 3,ChatGPT-4o,NReq,2,TO-DO LIST,Chat-JCR,0,0,3,1,0,0,0,0,0,0,4
Study 3,ChatGPT-4o,NReq,3,TO-DO LIST,Chat-JCR,0,0,0,1,0,0,0,0,0,0,1
Study 3,ChatGPT-4o,AccessReq,1,TO-DO LIST,Chat-JCR,0,0,0,1,0,0,0,0,0,0,1
Study 3,ChatGPT-4o,AccessReq,2,TO-DO LIST,Chat-JCR,3,0,0,1,0,0,0,0,0,0,4
Study 3,ChatGPT-4o,AccessReq,3,TO-DO LIST,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,1,PROFILE,Chat-JCR,0,0,2,0,0,0,0,0,0,0,2
Study 3,ChatGPT-4o,NReq,2,PROFILE,Chat-JCR,0,0,4,0,0,0,0,0,0,0,4
Study 3,ChatGPT-4o,NReq,3,PROFILE,Chat-JCR,0,0,3,0,0,0,0,0,0,0,3
Study 3,ChatGPT-4o,AccessReq,1,PROFILE,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 3,ChatGPT-4o,AccessReq,2,PROFILE,Chat-JCR,0,0,4,0,0,0,0,0,0,0,4
Study 3,ChatGPT-4o,AccessReq,3,PROFILE,Chat-JCR,0,0,3,0,0,0,0,0,0,0,3
Study 3,ChatGPT-4o,NReq,1,MUSIC PLAYER,Chat-JCR,0,0,8,1,0,0,0,0,0,0,9
Study 3,ChatGPT-4o,NReq,2,MUSIC PLAYER,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 3,ChatGPT-4o,NReq,3,MUSIC PLAYER,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,1,MUSIC PLAYER,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,2,MUSIC PLAYER,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,3,MUSIC PLAYER,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,1,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,2,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,NReq,3,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,1,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,2,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 3,ChatGPT-4o,AccessReq,3,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,NReq,1,LOGIN,Chat-JCR,2,0,2,0,0,0,0,0,0,0,4
Study 4,GitHub Copilot,NReq,2,LOGIN,Chat-JCR,1,0,0,0,0,0,0,0,0,0,1
Study 4,GitHub Copilot,NReq,3,LOGIN,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,AccessReq,1,LOGIN,Chat-JCR,2,0,0,0,0,0,0,0,0,0,2
Study 4,GitHub Copilot,AccessReq,2,LOGIN,Chat-JCR,1,0,0,0,0,0,0,0,0,0,1
Study 4,GitHub Copilot,AccessReq,3,LOGIN,Chat-JCR,0,0,0,0,0,0,0,1,0,0,1
Study 4,GitHub Copilot,NReq,1,PRODUCT,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 4,GitHub Copilot,NReq,2,PRODUCT,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,NReq,3,PRODUCT,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 4,GitHub Copilot,AccessReq,1,PRODUCT,Chat-JCR,0,0,1,0,0,2,0,2,0,0,5
Study 4,GitHub Copilot,AccessReq,2,PRODUCT,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,AccessReq,3,PRODUCT,Chat-JCR,0,0,1,0,0,0,0,0,0,0,1
Study 4,GitHub Copilot,NReq,1,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,NReq,2,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,NReq,3,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,AccessReq,1,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,AccessReq,2,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,2,0,0,2
Study 4,GitHub Copilot,AccessReq,3,REGISTRATION,Chat-JCR,0,0,0,0,0,0,0,2,0,0,2
Study 4,GitHub Copilot,NReq,1,TO-DO LIST,Chat-JCR,0,0,0,1,0,0,0,0,0,0,1
Study 4,GitHub Copilot,NReq,2,TO-DO LIST,Chat-JCR,0,1,0,1,0,0,0,0,0,0,2
Study 4,GitHub Copilot,NReq,3,TO-DO LIST,Chat-JCR,0,1,0,1,0,0,0,0,0,0,2
Study 4,GitHub Copilot,AccessReq,1,TO-DO LIST,Chat-JCR,0,0,0,1,0,0,0,0,0,0,1
Study 4,GitHub Copilot,AccessReq,2,TO-DO LIST,Chat-JCR,0,1,0,0,0,0,0,0,0,0,1
Study 4,GitHub Copilot,AccessReq,3,TO-DO LIST,Chat-JCR,0,1,0,0,0,0,0,0,0,0,1
Study 4,GitHub Copilot,NReq,1,PROFILE,Chat-JCR,1,0,4,0,0,0,0,0,0,0,5
Study 4,GitHub Copilot,NReq,2,PROFILE,Chat-JCR,1,0,2,0,0,0,0,0,0,0,3
Study 4,GitHub Copilot,NReq,3,PROFILE,Chat-JCR,1,0,2,0,0,0,0,0,0,0,3
Study 4,GitHub Copilot,AccessReq,1,PROFILE,Chat-JCR,1,0,0,0,0,0,0,0,0,0,1
Study 4,GitHub Copilot,AccessReq,2,PROFILE,Chat-JCR,1,0,2,0,0,0,3,0,0,0,6
Study 4,GitHub Copilot,AccessReq,3,PROFILE,Chat-JCR,1,0,2,0,0,0,3,0,0,0,6
Study 4,GitHub Copilot,NReq,1,MUSIC PLAYER,Chat-JCR,8,0,0,0,0,0,0,0,0,0,8
Study 4,GitHub Copilot,NReq,2,MUSIC PLAYER,Chat-JCR,5,3,0,0,0,0,0,0,0,0,8
Study 4,GitHub Copilot,NReq,3,MUSIC PLAYER,Chat-JCR,8,0,0,0,0,0,0,0,0,0,8
Study 4,GitHub Copilot,AccessReq,1,MUSIC PLAYER,Chat-JCR,8,0,0,0,0,0,0,0,0,0,8
Study 4,GitHub Copilot,AccessReq,2,MUSIC PLAYER,Chat-JCR,5,3,0,0,0,0,0,0,0,0,8
Study 4,GitHub Copilot,AccessReq,3,MUSIC PLAYER,Chat-JCR,8,0,0,0,0,0,0,0,0,0,8
Study 4,GitHub Copilot,NReq,1,SIDEBAR MENU,Chat-JCR,0,0,6,0,0,0,0,0,0,0,6
Study 4,GitHub Copilot,NReq,2,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,1,0,0,0,0,1
Study 4,GitHub Copilot,NReq,3,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
Study 4,GitHub Copilot,AccessReq,1,SIDEBAR MENU,Chat-JCR,0,0,6,0,0,0,0,0,0,0,6
Study 4,GitHub Copilot,AccessReq,2,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,1,0,0,0,0,1
Study 4,GitHub Copilot,AccessReq,3,SIDEBAR MENU,Chat-JCR,0,0,0,0,0,0,0,0,0,0,0
